,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
1517,Louisiana Tech,6-7-0,46.2,53.9,-0.6,2019,80,10-3,9-3,-0.19,-0.22,0.02,1.13,0.99,0.114,0.99,0.26,0.87,2.65
1518,Air Force,6-7-0,46.2,53.9,-1.0,2019,23,11-2,10-2,0.51,0.85,0.15,1.26,1.32,0.14,0.56,0.27,1.47,4.8
1519,Arizona State,6-7-0,46.2,53.9,-6.5,2019,44,8-5,7-5,0.23,-0.09,0.36,-0.08,0.02,0.0,0.0,0.9,3.18,7.18
1520,UAB,6-7-1,46.2,53.9,-2.2,2019,103,9-5,8-5,-0.46,-0.56,-0.28,0.17,0.22,0.048,0.81,0.25,1.25,3.69
1521,Florida State,6-7-0,46.2,53.9,-2.7,2019,54,6-7,5-7,0.05,0.02,0.28,-0.06,-0.07,-0.07,0.01,1.18,3.15,6.78
1522,Western Kentucky,6-7-0,46.2,53.9,-3.9,2019,56,9-4,9-3,0.04,-0.13,0.37,0.75,0.8,0.109,0.9,0.17,0.77,3.57
1523,Utah State,6-7-0,46.2,53.9,-0.3,2019,90,7-6,6-6,-0.35,-0.46,-0.35,-0.55,-0.55,-0.059,-0.14,1.02,2.32,5.28
1524,Tulane,6-7-0,46.2,53.9,1.2,2019,48,7-6,6-6,0.16,0.43,-0.07,0.18,0.18,0.039,0.17,0.84,2.9,6.32
1525,Penn State,6-7-0,46.2,53.9,-1.2,2019,9,11-2,10-2,0.93,0.83,0.86,1.03,1.19,0.092,1.05,1.8,4.38,7.76
1526,UCLA,5-6-1,45.5,54.6,3.0,2019,68,4-8,4-8,-0.07,0.11,-0.33,-0.57,-0.52,-0.043,-1.21,0.86,3.36,7.59
1527,Illinois,5-6-2,45.5,54.6,0.5,2019,60,6-7,6-7,0.03,-0.29,0.04,-0.23,-0.09,-0.089,-0.96,1.28,3.66,6.8
1528,Nebraska,5-6-1,45.5,54.6,-0.8,2019,51,5-7,5-7,0.08,-0.02,0.17,0.02,-0.2,0.03,0.29,1.83,3.77,6.68
1529,Louisiana,6-8-0,42.9,57.1,-5.8,2019,31,11-3,10-3,0.38,0.79,-0.04,1.16,1.29,0.137,1.07,0.27,1.23,4.29
1530,Miami (OH),6-8-0,42.9,57.1,-0.5,2019,92,8-6,7-6,-0.36,-0.76,-0.08,-0.58,-0.42,-0.038,-0.25,1.26,2.67,5.56
1531,Boise State,6-8-0,42.9,57.1,1.4,2019,35,12-2,11-2,0.32,0.36,0.26,0.97,0.96,0.133,0.85,0.38,1.69,5.05
1532,Baylor,6-8-0,42.9,57.1,-3.3,2019,17,11-3,10-3,0.67,0.38,1.03,0.95,0.92,0.082,1.37,1.46,4.6,8.27
1533,New Mexico,5-7-0,41.7,58.3,-3.9,2019,123,2-10,1-10,-0.91,-0.79,-1.2,-1.51,-1.42,-0.132,-1.32,0.52,1.8,4.37
1534,Old Dominion,5-7-0,41.7,58.3,-1.8,2019,122,1-11,0-11,-0.86,-1.35,-0.51,-1.35,-1.29,-0.165,-2.01,0.21,1.17,3.9
1535,Tulsa,5-7-0,41.7,58.3,1.0,2019,61,4-8,4-8,0.01,-0.05,0.22,-0.26,-0.33,-0.018,-0.39,0.64,3.22,7.43
1536,UNLV,5-7-0,41.7,58.3,-0.8,2019,118,4-8,3-8,-0.72,-0.75,-0.63,-0.89,-0.88,-0.148,-1.18,0.15,0.84,3.65
1537,East Carolina,5-7-0,41.7,58.3,4.4,2019,117,4-8,2-8,-0.71,-0.15,-1.3,-1.2,-1.33,-0.123,-1.37,0.37,1.78,4.42
1538,Rutgers,5-7-0,41.7,58.3,-0.9,2019,120,2-10,2-10,-0.81,-1.1,-0.87,-2.25,-2.09,-0.262,-2.4,1.98,4.48,7.49
1539,Ole Miss,5-7-0,41.7,58.3,-4.5,2019,36,4-8,3-8,0.29,0.35,0.25,-0.18,-0.18,-0.025,-0.21,2.23,4.46,7.02
1540,Auburn,5-7-1,41.7,58.3,0.3,2019,7,9-4,8-4,0.96,0.54,1.24,0.5,0.63,0.048,0.45,2.96,6.11,9.14
1541,Army,5-7-1,41.7,58.3,1.2,2019,85,5-8,3-8,-0.28,-0.22,-0.39,-0.14,-0.14,-0.038,-0.62,0.6,2.13,4.69
1542,NC State,5-7-0,41.7,58.3,-3.3,2019,110,4-8,3-8,-0.53,-0.7,-0.48,-1.17,-1.09,-0.112,-0.7,0.82,1.99,5.02
1543,Iowa State,5-7-1,41.7,58.3,3.7,2019,21,7-6,6-6,0.54,0.82,0.33,0.52,0.47,0.099,1.03,1.33,4.52,8.37
1544,Arkansas,5-7-0,41.7,58.3,0.5,2019,96,2-10,1-10,-0.4,-0.4,-0.65,-1.78,-1.81,-0.176,-1.59,2.13,4.41,7.46
1545,Connecticut,5-7-0,41.7,58.3,1.6,2019,126,2-10,1-10,-1.16,-1.01,-1.5,-2.08,-2.08,-0.216,-2.24,0.39,2.09,5.41
1546,Wake Forest,5-8-0,38.5,61.5,-0.3,2019,59,8-5,7-5,0.03,0.15,0.14,0.25,0.2,0.042,-0.05,0.88,2.41,5.88
1547,Oklahoma State,5-8-0,38.5,61.5,-5.1,2019,27,8-5,7-5,0.41,0.59,0.21,0.28,0.3,0.059,0.6,1.03,4.05,8.25
1548,Western Michigan,5-8-0,38.5,61.5,-3.3,2019,78,7-6,6-6,-0.18,0.28,-0.42,0.58,0.39,0.024,0.16,0.15,0.7,3.31
1549,Michigan State,5-8-0,38.5,61.5,0.2,2019,38,7-6,7-6,0.28,0.0,0.61,0.17,0.07,0.101,0.5,2.11,4.45,7.84
1550,Notre Dame,5-8-0,38.5,61.5,-1.0,2019,13,11-2,11-2,0.85,0.67,1.07,1.52,1.53,0.167,1.66,1.1,3.83,7.71
1551,California,5-8-0,38.5,61.5,-3.0,2019,50,8-5,7-5,0.13,0.04,0.25,-0.02,-0.19,-0.087,-0.24,1.06,3.74,7.74
1552,Northwestern,4-7-1,36.4,63.6,-4.5,2019,75,3-9,3-9,-0.16,-0.91,0.47,-0.65,-0.63,-0.066,-0.65,1.85,4.14,7.28
1553,South Florida,4-7-1,36.4,63.6,-4.1,2019,99,4-8,3-8,-0.41,-0.73,0.1,-0.83,-0.86,-0.145,-0.95,1.01,3.12,6.06
1554,Texas A&M,4-8-1,33.3,66.7,-3.3,2019,22,8-5,7-5,0.53,0.57,0.58,0.28,0.34,0.042,0.18,3.11,5.62,8.0
1555,Vanderbilt,4-8-0,33.3,66.7,-4.9,2019,109,3-9,2-9,-0.52,-0.52,-0.68,-1.81,-1.82,-0.27,-2.34,1.63,3.88,6.96
1556,Bowling Green,4-8-0,33.3,66.7,-2.4,2019,127,3-9,2-9,-1.36,-1.37,-1.49,-2.26,-2.26,-0.245,-3.25,0.45,1.5,4.07
1557,Colorado State,4-8-0,33.3,66.7,-0.7,2019,104,4-8,3-8,-0.46,-0.45,-0.58,-0.45,-0.42,0.0,0.24,0.25,1.23,3.9
1558,Texas State,4-8-0,33.3,66.7,-4.8,2019,121,3-9,2-9,-0.81,-1.17,-0.58,-1.59,-1.48,-0.192,-1.08,0.35,1.69,4.66
1559,Iowa,4-8-1,33.3,66.7,-6.0,2019,16,10-3,10-3,0.68,0.2,0.94,0.76,0.9,0.113,0.96,1.57,4.34,7.92
1560,South Carolina,4-8-0,33.3,66.7,-3.2,2019,49,4-8,3-8,0.15,-0.29,0.63,-0.77,-0.62,-0.09,-1.06,2.42,5.35,8.49
1561,West Virginia,4-8-0,33.3,66.7,-4.7,2019,73,5-7,4-7,-0.14,-0.36,-0.15,-1.01,-0.96,-0.121,-0.74,1.0,3.85,7.57
1562,South Alabama,4-8-0,33.3,66.7,-3.3,2019,119,2-10,1-10,-0.73,-0.96,-0.41,-1.14,-1.18,-0.18,-0.97,0.37,1.6,4.43
1563,Tennessee,4-9-0,30.8,69.2,-5.2,2019,47,8-5,7-5,0.19,-0.07,0.51,0.03,0.06,0.047,0.61,1.59,3.82,7.17
1564,Pittsburgh,4-9-0,30.8,69.2,-6.2,2019,62,8-5,7-5,0.0,-0.49,0.6,-0.02,-0.1,0.032,0.38,0.64,2.6,6.49
1565,Wyoming,4-9-0,30.8,69.2,-4.3,2019,57,8-5,7-5,0.04,-0.18,0.18,0.57,0.61,0.025,0.39,0.27,1.34,4.05
1566,Utah,4-9-1,30.8,69.2,-3.9,2019,10,11-3,10-3,0.91,0.88,0.95,1.47,1.36,0.215,1.85,0.87,3.39,7.68
1567,Kansas State,3-9-1,25.0,75.0,-1.4,2019,26,8-5,7-5,0.43,0.28,0.53,0.39,0.44,0.014,-0.47,1.04,3.98,7.86
1568,Georgia,3-11-0,21.4,78.6,-7.5,2019,6,12-2,11-2,0.98,0.79,1.24,1.29,1.4,0.206,1.92,2.16,5.28,8.91
1569,Cincinnati,3-11-0,21.4,78.6,-1.9,2019,29,11-3,11-3,0.39,0.14,0.65,0.71,0.82,0.046,0.16,1.38,3.14,6.62
1570,Missouri,2-10-0,16.7,83.3,-10.6,2019,45,6-6,5-6,0.21,-0.02,0.43,0.25,0.17,0.05,-0.22,0.85,2.79,6.09
1571,San Diego State,2-11-0,15.4,84.6,-9.9,2019,63,10-3,9-3,-0.03,-0.68,0.49,0.6,0.65,0.085,0.06,0.12,0.55,3.03
1572,Kansas,7-1-1,87.5,12.5,7.3,2020,114,0-9,0-9,-0.74,-0.95,-0.54,-2.24,-2.3,-0.353,-3.02,1.03,3.49,6.6
1573,Florida International,4-1-0,80.0,20.0,3.4,2020,116,0-5,0-4,-0.77,-1.01,-0.9,-1.1,-0.98,-0.158,-1.45,0.05,0.25,1.07
1574,Kent State,3-1-0,75.0,25.0,25.1,2020,54,3-1,3-1,0.06,1.83,-1.3,1.24,0.98,0.141,1.11,0.31,0.9,1.54
1575,South Florida,6-2-1,75.0,25.0,7.0,2020,117,1-8,0-8,-0.78,-0.69,-1.0,-1.81,-1.68,-0.217,-1.66,0.5,1.99,4.38
1576,Washington State,3-1-0,75.0,25.0,4.5,2020,102,1-3,1-3,-0.44,0.14,-1.19,-1.19,-1.02,-0.15,-0.91,0.08,0.75,2.29
1577,Colorado State,3-1-0,75.0,25.0,3.3,2020,99,1-3,1-3,-0.42,-0.28,-0.54,-0.87,-1.01,-0.11,-0.06,0.09,0.75,2.24
1578,Pittsburgh,8-3-0,72.7,27.3,3.8,2020,56,6-5,5-5,0.05,-0.37,0.2,-0.27,-0.12,0.007,-0.32,0.67,2.3,5.24
1579,Michigan State,5-2-0,71.4,28.6,4.4,2020,97,2-5,2-5,-0.37,-0.75,-0.01,-1.18,-1.1,-0.143,-0.58,0.61,2.2,4.49
1580,Ohio State,5-2-1,71.4,28.6,1.6,2020,5,7-1,7-1,0.87,1.88,0.08,1.34,1.23,0.192,1.46,1.28,2.77,4.91
1581,Boise State,5-2-0,71.4,28.6,5.9,2020,32,5-2,5-2,0.32,0.27,0.02,0.08,0.21,0.011,-0.22,0.82,1.96,3.77
1582,Oregon State,5-2-0,71.4,28.6,7.1,2020,80,2-5,2-5,-0.2,0.35,-0.83,-0.6,-0.63,-0.115,-0.9,0.2,1.22,3.59
1583,South Carolina,7-3-0,70.0,30.0,5.9,2020,110,2-8,2-8,-0.6,-0.05,-0.96,-0.94,-0.9,-0.154,-1.2,0.47,2.08,5.08
1584,North Texas,7-3-0,70.0,30.0,8.2,2020,119,4-6,3-6,-0.84,-0.03,-1.6,-0.75,-0.84,-0.054,-0.7,0.16,0.67,2.34
1585,Georgia State,7-3-0,70.0,30.0,3.8,2020,58,6-4,6-4,0.04,0.22,-0.01,0.26,0.32,0.052,0.14,0.54,2.08,4.87
1586,Virginia,7-3-0,70.0,30.0,3.1,2020,67,5-5,4-5,-0.03,0.0,0.08,-0.06,-0.17,-0.042,-0.9,0.54,2.19,5.24
1587,Texas,7-3-0,70.0,30.0,9.6,2020,13,7-3,7-3,0.64,0.96,0.2,0.79,0.9,0.072,1.03,0.77,2.9,6.12
1588,Ohio,2-1-0,66.7,33.3,-5.2,2020,53,2-1,2-1,0.07,0.52,-0.45,1.44,1.35,0.072,1.3,0.05,0.26,0.69
1589,East Carolina,6-3-0,66.7,33.3,2.8,2020,87,3-6,3-6,-0.25,-0.35,-0.14,-0.3,-0.32,-0.048,-0.17,0.33,1.61,4.09
1590,Colorado,4-2-0,66.7,33.3,4.3,2020,70,4-2,4-2,-0.04,0.09,-0.01,0.01,-0.12,0.002,-0.64,0.24,1.28,3.24
1591,Michigan,4-2-0,66.7,33.3,9.3,2020,90,2-4,2-4,-0.29,0.53,-1.19,-0.5,-0.63,-0.061,0.19,0.17,0.96,2.88
1592,Florida,8-4-0,66.7,33.3,7.9,2020,16,8-4,8-4,0.52,1.32,-0.07,1.02,1.13,0.167,1.81,1.44,3.25,6.09
1593,Florida State,6-3-0,66.7,33.3,5.5,2020,103,3-6,2-6,-0.47,-0.33,-0.95,-1.37,-1.25,-0.175,-1.46,0.36,1.74,4.34
1594,Western Michigan,4-2-0,66.7,33.3,14.5,2020,31,4-2,4-2,0.32,1.81,-0.93,0.73,0.57,0.126,1.82,0.29,1.4,3.26
1595,Eastern Michigan,4-2-0,66.7,33.3,7.3,2020,52,2-4,2-4,0.07,0.49,-0.43,-0.5,-0.39,-0.083,-0.39,0.33,1.7,3.99
1596,Wake Forest,6-3-0,66.7,33.3,7.6,2020,57,4-5,3-5,0.05,0.51,-0.36,-0.21,-0.39,-0.026,-0.35,0.53,2.04,4.75
1597,Charlotte,4-2-0,66.7,33.3,2.9,2020,112,2-4,2-4,-0.68,-0.25,-1.18,-0.4,-0.51,-0.086,-1.09,0.13,0.44,1.33
1598,Louisville,7-4-0,63.6,36.4,-4.5,2020,59,4-7,4-7,0.04,0.38,-0.34,0.28,0.18,0.026,0.78,0.34,1.69,4.96
1599,Liberty,7-4-0,63.6,36.4,-1.8,2020,42,10-1,8-1,0.18,0.67,-0.27,1.29,1.27,0.215,1.33,0.36,1.06,2.5
1600,Duke,7-4-0,63.6,36.4,7.5,2020,107,2-9,2-9,-0.57,-0.92,-0.59,-1.32,-1.14,-0.086,-1.35,0.39,1.86,5.07
1601,Alabama,8-5-0,61.5,38.5,3.2,2020,1,13-0,13-0,1.43,2.47,0.5,2.61,2.59,0.326,2.96,0.97,3.54,7.68
1602,Kansas State,6-4-0,60.0,40.0,7.4,2020,64,4-6,4-6,0.0,0.17,-0.4,-0.65,-0.43,-0.099,-0.37,0.93,3.26,6.4
1603,Louisiana Tech,6-4-0,60.0,40.0,5.2,2020,108,5-5,4-5,-0.59,-0.92,-0.62,-1.29,-1.27,-0.19,-1.81,0.78,2.0,4.15
1604,Bowling Green,3-2-0,60.0,40.0,-0.8,2020,126,0-5,0-5,-1.46,-1.6,-1.31,-3.1,-3.1,-0.278,-1.72,0.37,1.37,2.84
1605,Georgia Tech,6-4-0,60.0,40.0,2.2,2020,101,3-7,3-7,-0.43,-0.29,-0.46,-0.64,-0.89,-0.088,-0.35,0.65,2.22,5.1
1606,Ole Miss,6-4-0,60.0,40.0,8.1,2020,55,5-5,5-5,0.05,1.39,-1.21,0.1,0.1,0.05,0.15,0.98,2.31,4.88
1607,LSU,6-4-0,60.0,40.0,6.1,2020,72,5-5,5-5,-0.08,-0.33,-0.07,-0.57,-0.48,-0.072,-1.9,1.02,2.41,4.93
1608,UCF,6-4-0,60.0,40.0,2.6,2020,34,6-4,6-4,0.28,1.12,-0.5,0.76,0.77,0.078,0.28,0.93,2.2,4.51
1609,Stanford,3-2-1,60.0,40.0,7.4,2020,74,4-2,4-2,-0.13,0.89,-1.05,-0.27,-0.16,-0.051,-0.56,0.08,0.84,2.99
1610,Georgia,6-4-0,60.0,40.0,2.8,2020,12,8-2,8-2,0.67,0.65,0.66,0.91,1.03,0.166,1.28,1.12,2.52,5.1
1611,Utah,3-2-0,60.0,40.0,4.2,2020,49,3-2,3-2,0.1,-0.52,0.65,0.13,0.11,0.066,0.25,0.1,0.72,2.39
1612,Western Kentucky,7-5-0,58.3,41.7,-3.3,2020,105,5-7,4-7,-0.51,-1.03,-0.27,-0.95,-0.85,-0.101,-0.97,0.75,1.94,4.5
1613,North Carolina,7-5-0,58.3,41.7,6.5,2020,24,8-4,7-4,0.39,1.48,-0.49,1.05,0.99,0.149,1.43,0.44,2.1,5.52
1614,Clemson,7-5-0,58.3,41.7,4.0,2020,3,10-2,9-2,0.95,1.16,1.02,1.91,1.88,0.219,1.59,0.81,3.0,6.52
1615,Tulane,7-5-0,58.3,41.7,5.4,2020,62,6-6,6-6,0.02,0.1,-0.33,0.11,0.29,-0.012,-0.06,0.19,1.4,4.84
1616,Coastal Carolina,7-5-0,58.3,41.7,0.1,2020,7,11-1,10-1,0.84,1.35,0.65,1.73,1.6,0.188,1.18,0.9,2.63,5.9
1617,NC State,7-5-0,58.3,41.7,2.6,2020,68,8-4,8-4,-0.03,0.11,-0.13,0.2,0.19,-0.006,0.3,0.24,1.63,5.35
1618,Buffalo,4-3-0,57.1,42.9,5.3,2020,6,6-1,6-1,0.84,1.51,0.42,2.08,2.08,0.233,2.2,0.31,1.42,3.28
1619,UCLA,4-3-0,57.1,42.9,4.9,2020,46,3-4,3-4,0.15,0.65,-0.13,0.48,0.43,0.055,0.82,0.23,1.25,3.45
1620,New Mexico,4-3-0,57.1,42.9,-0.1,2020,95,2-5,2-5,-0.33,-0.07,-0.52,-0.52,-0.64,-0.072,-1.38,0.22,1.28,3.53
1621,West Virginia,5-4-1,55.6,44.4,-3.0,2020,40,6-4,5-4,0.19,-0.15,0.57,0.27,0.22,0.083,0.45,0.59,2.6,5.65
1622,Rutgers,5-4-0,55.6,44.4,5.2,2020,94,3-6,3-6,-0.33,-0.8,-0.07,-0.67,-0.62,-0.122,-1.18,0.45,1.48,3.88
1623,Middle Tennessee,5-4-0,55.6,44.4,0.2,2020,113,3-6,3-6,-0.71,-0.29,-1.1,-0.84,-1.03,-0.102,-1.12,0.14,1.04,3.5
1624,Arkansas State,6-5-0,54.6,45.5,3.7,2020,86,4-7,3-7,-0.25,0.43,-0.77,-0.39,-0.5,-0.055,-0.29,0.53,2.14,5.08
1625,Oklahoma,6-5-0,54.6,45.5,1.0,2020,4,9-2,8-2,0.93,0.93,0.82,1.23,1.38,0.16,1.33,0.88,3.44,6.75
1626,Boston College,6-5-0,54.6,45.5,2.2,2020,69,6-5,6-5,-0.03,0.16,-0.44,-0.27,-0.22,-0.04,-0.69,0.69,2.38,5.51
1627,Virginia Tech,6-5-0,54.6,45.5,1.0,2020,51,5-6,5-6,0.08,0.49,-0.18,0.13,0.12,0.05,0.86,0.57,2.52,6.34
1628,Syracuse,6-5-0,54.6,45.5,-4.4,2020,104,1-10,1-10,-0.48,-1.13,-0.23,-1.59,-1.42,-0.261,-2.06,0.7,2.67,6.2
1629,Oregon,3-3-1,50.0,50.0,0.1,2020,47,4-3,4-3,0.15,0.55,-0.2,0.27,0.34,0.032,1.58,0.31,1.33,3.51
1630,Wyoming,3-3-0,50.0,50.0,-5.4,2020,60,2-4,2-4,0.04,-0.66,0.67,0.32,0.39,0.033,0.55,0.11,0.68,2.3
1631,Washington,2-2-0,50.0,50.0,5.0,2020,43,3-1,3-1,0.17,1.11,-0.14,1.47,1.36,0.257,1.43,0.04,0.33,1.38
1632,Navy,5-5-0,50.0,50.0,-3.9,2020,106,3-7,3-7,-0.55,-0.72,-0.41,-1.3,-1.42,-0.231,-1.93,0.79,2.25,5.26
1633,Texas A&M,5-5-0,50.0,50.0,-0.9,2020,17,9-1,9-1,0.51,0.9,0.29,1.16,1.23,0.164,0.91,0.98,2.25,4.75
1634,Marshall,5-5-0,50.0,50.0,-9.4,2020,35,7-3,6-3,0.22,0.14,0.39,1.12,1.2,0.101,1.12,0.43,1.4,3.24
1635,Cincinnati,5-5-0,50.0,50.0,1.4,2020,8,9-1,8-1,0.73,0.49,1.03,1.38,1.36,0.143,1.46,0.32,1.72,4.64
1636,UTEP,4-4-0,50.0,50.0,0.9,2020,122,3-5,1-5,-1.01,-1.09,-1.19,-1.18,-1.17,-0.109,-1.39,0.22,0.66,1.48
1637,Notre Dame,6-6-0,50.0,50.0,-2.3,2020,10,10-2,10-2,0.68,0.97,0.44,1.35,1.26,0.184,1.16,1.59,3.36,6.0
1638,TCU,5-5-0,50.0,50.0,3.3,2020,25,6-4,6-4,0.37,0.19,0.54,0.49,0.51,0.103,0.65,0.88,3.01,5.95
1639,Temple,3-3-1,50.0,50.0,-2.7,2020,121,1-6,1-6,-0.9,-1.07,-0.81,-1.44,-1.61,-0.148,-1.91,0.1,0.68,2.56
1640,Missouri,5-5-0,50.0,50.0,5.4,2020,93,5-5,5-5,-0.32,0.2,-0.9,-0.77,-0.68,-0.033,-0.65,1.09,2.37,4.67
1641,Utah State,3-3-0,50.0,50.0,0.3,2020,118,1-5,1-5,-0.83,-0.59,-1.38,-2.02,-1.91,-0.231,-2.01,0.17,1.19,3.38
1642,Northern Illinois,3-3-0,50.0,50.0,6.3,2020,79,0-6,0-6,-0.19,-0.15,-0.13,-1.14,-1.07,-0.198,-1.78,0.6,2.36,4.61
1643,Central Michigan,3-3-0,50.0,50.0,3.6,2020,37,3-3,3-3,0.22,0.0,0.43,-0.05,0.08,-0.007,-0.58,0.32,1.62,3.88
1644,Akron,3-3-0,50.0,50.0,1.9,2020,123,1-5,1-5,-1.05,-0.94,-1.38,-2.37,-2.32,-0.307,-2.66,0.42,1.7,3.59
1645,Penn State,4-4-1,50.0,50.0,2.1,2020,63,4-5,4-5,0.02,-0.1,0.14,0.17,0.09,0.066,0.3,0.56,1.78,4.1
1646,Indiana,4-4-0,50.0,50.0,-9.2,2020,23,6-2,6-2,0.41,-0.11,0.87,0.75,1.01,0.047,0.06,0.42,1.49,3.83
1647,Houston,4-4-0,50.0,50.0,0.3,2020,66,3-5,3-5,-0.02,0.03,-0.05,-0.2,-0.07,0.005,-0.49,0.92,2.15,4.1
1648,Fresno State,3-3-0,50.0,50.0,5.2,2020,89,3-3,3-3,-0.27,-0.08,-0.37,0.3,0.22,0.078,0.05,0.07,0.38,1.59
1649,Illinois,4-4-0,50.0,50.0,0.9,2020,109,2-6,2-6,-0.6,-0.3,-0.89,-1.22,-1.27,-0.136,-1.48,0.32,1.58,4.25
1650,Arizona State,2-2-0,50.0,50.0,6.6,2020,15,2-2,2-2,0.55,1.01,0.25,1.42,1.35,0.12,1.8,0.08,0.59,1.77
1651,Toledo,3-3-0,50.0,50.0,-0.6,2020,30,4-2,4-2,0.35,0.65,0.26,0.97,0.9,0.197,0.86,0.29,1.39,3.25
1652,Texas State,6-6-0,50.0,50.0,6.4,2020,98,2-10,2-10,-0.38,-0.01,-0.92,-1.09,-1.06,-0.158,-0.56,1.17,3.26,6.7
1653,Nevada,4-5-0,44.4,55.6,-3.7,2020,41,7-2,7-2,0.19,0.48,-0.17,0.65,0.74,0.085,0.92,0.19,1.15,3.6
1654,Vanderbilt,4-5-0,44.4,55.6,1.3,2020,124,0-9,0-9,-1.08,-0.61,-1.29,-1.84,-2.1,-0.217,-2.35,0.29,1.39,4.05
1655,UAB,4-5-0,44.4,55.6,1.2,2020,48,6-3,5-3,0.13,-0.08,0.17,0.45,0.53,0.049,0.63,0.23,1.17,3.45
1656,Tulsa,4-5-0,44.4,55.6,-7.1,2020,39,6-3,6-3,0.21,-0.18,0.73,0.56,0.46,0.075,0.82,0.41,1.75,4.35
1657,Minnesota,3-4-0,42.9,57.1,-0.9,2020,84,3-4,3-4,-0.23,0.44,-0.77,-0.09,-0.1,-0.013,-0.38,0.23,1.04,3.0
1658,Wisconsin,3-4-0,42.9,57.1,-4.2,2020,26,4-3,4-3,0.37,-0.36,0.95,0.38,0.57,0.049,-0.56,0.32,1.51,3.72
1659,Army,5-7-0,41.7,58.3,-3.5,2020,38,9-3,6-3,0.21,-0.06,0.39,0.49,0.65,0.064,-0.58,0.36,1.63,4.04
1660,Appalachian State,5-7-0,41.7,58.3,-3.3,2020,22,9-3,8-3,0.43,0.47,0.56,1.18,1.19,0.17,1.43,0.5,2.05,4.92
1661,BYU,5-7-0,41.7,58.3,-1.3,2020,2,11-1,10-1,1.28,2.01,0.76,2.85,2.88,0.345,4.1,0.47,1.99,5.16
1662,Arkansas,4-6-0,40.0,60.0,0.2,2020,78,3-7,3-7,-0.17,0.04,-0.15,-0.47,-0.77,-0.137,0.05,1.19,3.03,6.04
1663,Texas Tech,4-6-0,40.0,60.0,2.8,2020,71,4-6,3-6,-0.05,0.03,-0.06,-0.51,-0.7,-0.067,0.17,0.92,3.23,6.14
1664,Arizona,2-3-0,40.0,60.0,-3.9,2020,115,0-5,0-5,-0.74,-0.79,-0.79,-2.24,-2.16,-0.262,-2.11,0.22,1.34,3.34
1665,Georgia Southern,5-8-0,38.5,61.5,-1.7,2020,44,8-5,7-5,0.16,0.01,0.44,0.67,0.46,0.061,0.96,0.57,2.22,5.23
1666,Baylor,3-5-1,37.5,62.5,-0.8,2020,61,2-7,2-7,0.03,-0.28,0.27,-0.53,-0.7,-0.076,-1.17,0.92,3.2,6.08
1667,Ball State,3-5-0,37.5,62.5,-3.6,2020,11,7-1,7-1,0.67,1.0,0.45,0.73,0.67,0.05,-0.01,0.59,2.59,5.64
1668,San Diego State,3-5-0,37.5,62.5,-5.4,2020,36,4-4,4-4,0.22,-0.45,0.83,0.42,0.41,0.106,0.79,0.79,1.82,3.63
1669,Iowa,3-5-0,37.5,62.5,-0.8,2020,14,6-2,6-2,0.55,0.02,0.79,0.91,1.09,0.106,1.11,0.2,1.1,3.47
1670,Iowa State,4-7-1,36.4,63.6,0.4,2020,9,9-3,9-3,0.71,0.99,0.65,1.15,1.22,0.127,0.95,1.18,4.13,8.11
1671,Kentucky,4-7-0,36.4,63.6,-3.0,2020,75,5-6,5-6,-0.15,-0.42,0.09,-0.33,-0.33,-0.067,-0.42,1.1,2.62,5.36
1672,Mississippi State,4-7-0,36.4,63.6,-5.5,2020,77,4-7,4-7,-0.17,-0.56,0.22,-0.48,-0.55,-0.08,-0.46,1.11,2.86,5.99
1673,Oklahoma State,4-7-0,36.4,63.6,-1.9,2020,18,8-3,8-3,0.48,0.24,0.65,0.41,0.42,0.097,0.52,0.91,3.5,7.21
1674,UNLV,2-4-0,33.3,66.7,-1.5,2020,120,0-6,0-6,-0.84,-0.21,-1.35,-1.76,-1.89,-0.248,-2.64,0.17,1.18,3.4
1675,Purdue,2-4-0,33.3,66.7,-0.2,2020,76,2-4,2-4,-0.16,0.36,-0.47,-0.03,-0.28,-0.005,0.34,0.25,1.04,2.7
1676,Memphis,3-6-2,33.3,66.7,-7.0,2020,81,8-3,7-3,-0.2,-0.02,-0.42,-0.03,-0.01,-0.014,0.27,0.33,1.4,3.86
1677,Miami (OH),1-2-0,33.3,66.7,-0.7,2020,29,2-1,2-1,0.36,0.66,-0.08,-0.03,0.18,-0.008,-0.13,0.48,1.32,1.88
1678,UL Monroe,3-7-0,30.0,70.0,0.7,2020,125,0-10,0-10,-1.16,-1.03,-1.26,-2.2,-2.2,-0.301,-2.4,0.29,1.74,4.89
1679,Tennessee,3-7-0,30.0,70.0,-0.3,2020,92,3-7,3-7,-0.32,-0.28,-0.15,-0.61,-0.69,-0.098,-0.65,1.19,2.84,5.31
1680,Louisiana,3-7-1,30.0,70.0,-0.3,2020,20,10-1,10-1,0.48,0.65,0.36,0.95,0.93,0.103,1.29,0.65,2.43,5.57
1681,Troy,3-7-1,30.0,70.0,-6.2,2020,45,5-6,4-6,0.16,-0.05,0.3,0.07,0.08,0.023,0.1,1.06,2.5,4.84
1682,Auburn,3-8-0,27.3,72.7,-3.5,2020,50,6-5,6-5,0.1,0.26,-0.33,-0.31,-0.15,-0.026,-0.23,1.17,2.92,6.02
