,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
88,Iowa State,4-7-0,36.4,63.6,-2.6,2007,81,3-9,3-8,-0.34,-0.91,0.34,-0.84,-1.02,-0.125,-1.5,1.25,3.86,7.02
89,South Carolina,4-7-0,36.4,63.6,1.4,2007,29,6-6,5-6,0.36,-0.31,0.89,-0.18,-0.1,-0.045,-0.01,1.45,4.6,8.03
90,Mississippi State,4-7-1,36.4,63.6,-5.4,2007,50,8-5,7-5,0.16,-0.81,1.08,-0.24,-0.36,-0.056,-0.65,1.32,4.4,8.1
91,Louisiana Tech,4-7-0,36.4,63.6,-5.7,2007,102,5-7,4-7,-0.59,-1.3,0.34,-0.68,-0.8,-0.091,-1.4,0.51,1.83,4.35
92,Cincinnati,4-7-1,36.4,63.6,1.4,2007,13,10-3,9-3,0.58,-0.15,1.17,0.88,0.98,0.078,0.83,0.75,2.77,6.33
93,Tulane,4-7-0,36.4,63.6,-3.1,2007,103,4-8,3-8,-0.59,-0.96,-0.23,-0.59,-0.6,-0.081,-0.52,0.45,1.33,3.45
94,Texas Tech,4-7-1,36.4,63.6,-0.3,2007,17,9-4,8-4,0.54,0.64,0.48,1.02,1.05,0.139,1.53,0.97,3.13,6.27
95,UNLV,4-8-0,33.3,66.7,-1.4,2007,99,2-10,2-10,-0.57,-1.13,0.17,-0.75,-0.83,-0.127,-0.77,0.25,1.69,5.31
96,Utah,4-8-1,33.3,66.7,-7.0,2007,39,9-4,9-4,0.25,-0.8,1.24,0.57,0.66,0.075,0.27,0.28,1.85,5.74
97,Auburn,4-8-0,33.3,66.7,-4.1,2007,18,9-4,8-4,0.54,-0.33,1.37,0.34,0.46,0.073,0.47,1.49,4.85,8.61
98,Michigan,4-8-0,33.3,66.7,-4.7,2007,21,9-4,9-3,0.49,-0.27,1.3,0.57,0.57,0.086,0.52,1.14,3.87,7.54
99,Maryland,4-8-0,33.3,66.7,-1.1,2007,47,6-7,5-7,0.17,-0.28,0.56,0.0,0.13,-0.042,-0.4,0.83,3.42,7.54
100,Houston,4-8-0,33.3,66.7,-0.8,2007,73,8-5,7-5,-0.17,-0.32,0.14,0.32,0.16,0.083,0.26,0.38,1.49,4.15
101,Arizona State,4-9-0,30.8,69.2,-1.5,2007,19,10-3,10-3,0.53,-0.09,1.13,0.57,0.62,0.056,0.27,0.86,3.69,8.09
102,UCLA,4-9-0,30.8,69.2,-4.9,2007,36,6-7,6-7,0.28,-0.91,1.31,-0.3,-0.16,-0.023,-0.19,0.96,4.22,9.09
103,Marshall,3-7-1,30.0,70.0,-4.2,2007,85,3-9,3-8,-0.38,-0.37,-0.31,-0.62,-0.63,-0.09,-0.63,0.62,2.04,4.87
104,Northern Illinois,3-8-0,27.3,72.7,-5.0,2007,118,2-10,2-9,-0.9,-1.59,-0.34,-1.03,-0.99,-0.117,-1.02,0.15,0.69,2.83
105,Hawaii,3-8-0,27.3,72.7,-5.0,2007,57,12-1,10-1,0.08,0.0,0.37,0.97,0.95,0.119,2.1,0.39,1.44,3.51
106,San Jose State,3-8-0,27.3,72.7,-4.6,2007,109,5-7,4-7,-0.71,-1.13,0.02,-0.65,-0.95,-0.062,-0.47,0.26,1.46,4.18
